object,stage,elapsed_seconds,exit_status
background_garden,2dgs_train,3281,0
background_garden,2dgs_render_export,713,0
object_A100,preprocess,544,0
object_A100,colmap_feature_extractor,29,0
object_A100,colmap_exhaustive_matcher,37,0
object_A100,colmap_mapper,35,0
object_A100,colmap_model_analyzer,0,0
object_A100,2dgs_train,1398,0
object_A100,2dgs_render_export,47,0
object_A50,preprocess,280,0
object_A50,colmap_feature_extractor,11,0
object_A50,colmap_exhaustive_matcher,6,0
object_A50,colmap_mapper,11,0
object_A50,colmap_model_analyzer,0,0
object_A50,2dgs_train,1280,0
object_A50,2dgs_render_export,20,0
object_A25,preprocess,140,0
object_A25,colmap_feature_extractor,8,0
object_A25,colmap_exhaustive_matcher,1,0
object_A25,colmap_mapper,2,0
object_A25,colmap_model_analyzer,0,0
object_A25,2dgs_train,1235,0
object_A25,2dgs_render_export,11,0
object_B,threestudio_train,4082,0
object_B,threestudio_export,42,0
object_C,preprocess_foreground,21,0
object_C,magic123_preprocess_rgba_depth,15,0
object_C,magic123_coarse,3069,0
object_C,magic123_fine_export,1951,0
object_C,magic123_plot_ema,14,0
