trial,lr,hidden_dim,weight_decay,best_val_acc,best_epoch,epochs_ran,final_train_acc,final_val_acc,final_train_loss,final_val_loss
1,0.1,128,0.001,0.8831666666666667,77,100,0.9027708333333333,0.8823333333333333,0.38324606646029163,0.4239827326933541
2,0.1,128,0.0001,0.888,97,100,0.9116041666666667,0.88725,0.2741854393035251,0.3313986666202548
3,0.1,128,1e-05,0.8881666666666667,97,100,0.912625,0.8875833333333333,0.2534294665134048,0.3128194127623243
4,0.1,256,0.001,0.885,86,100,0.9058333333333334,0.8838333333333334,0.41610231665166186,0.4613799281915028
5,0.1,256,0.0001,0.89,99,100,0.9154166666666667,0.8890833333333333,0.2750806903909047,0.3394277909437812
6,0.1,256,1e-05,0.8895,69,100,0.9166875,0.8883333333333333,0.24340968823549905,0.31061845888137785
7,0.1,512,0.001,0.8878333333333334,94,100,0.9085416666666667,0.88725,0.4865948538080852,0.532837900956472
8,0.1,512,0.0001,0.8924166666666666,93,100,0.9210833333333334,0.8916666666666667,0.2860840261039097,0.3555495571454363
9,0.1,512,1e-05,0.8928333333333334,95,100,0.9225625,0.8911666666666667,0.2334513623595174,0.305569377775192
10,0.05,128,0.001,0.8758333333333334,97,100,0.8866041666666666,0.8746666666666667,0.4461406642112735,0.47224502571423854
11,0.05,128,0.0001,0.8783333333333333,97,100,0.8904583333333334,0.8760833333333333,0.332806197976303,0.3652196223417915
12,0.05,128,1e-05,0.8783333333333333,97,100,0.8908541666666666,0.8768333333333334,0.3156507386976371,0.34895679778734834
13,0.05,256,0.001,0.8770833333333333,79,100,0.8889583333333333,0.8765,0.5089677316462199,0.5380905048847197
14,0.05,256,0.0001,0.8786666666666667,68,100,0.8933333333333333,0.8784166666666666,0.33545522735328687,0.37219768112500484
15,0.05,256,1e-05,0.87925,97,100,0.8939791666666667,0.8791666666666667,0.3072526818880463,0.3446267386945086
16,0.05,512,0.001,0.878,95,100,0.8912291666666666,0.87725,0.6429274346383415,0.6728961023489631
17,0.05,512,0.0001,0.8811666666666667,87,100,0.897375,0.881,0.3513184154608407,0.39027530566851304
18,0.05,512,1e-05,0.8810833333333333,92,100,0.8977708333333333,0.8806666666666667,0.3013711699541728,0.3413351143105823
19,0.01,128,0.001,0.84825,90,100,0.8503958333333334,0.84825,0.5779693690980275,0.5839273282686874
20,0.01,128,0.0001,0.8493333333333334,100,100,0.8517916666666666,0.8493333333333334,0.449645197470347,0.45610045995712245
21,0.01,128,1e-05,0.8495,100,100,0.8519375,0.8495,0.4353865673057045,0.44188617858568874
22,0.01,256,0.001,0.8509166666666667,77,100,0.8543125,0.8503333333333334,0.6832045323015848,0.6898106056054438
23,0.01,256,0.0001,0.8516666666666667,91,100,0.8552708333333333,0.8511666666666666,0.4536232134564718,0.4608045394420625
24,0.01,256,1e-05,0.8518333333333333,94,100,0.8553541666666666,0.85125,0.4279442013653053,0.43518022632280956
25,0.01,512,0.001,0.8509166666666667,87,100,0.8585625,0.8506666666666667,0.9003825555445353,0.909321394522985
26,0.01,512,0.0001,0.8523333333333334,97,100,0.8598958333333333,0.85125,0.46882562751464846,0.47854522747993433
27,0.01,512,1e-05,0.8524166666666667,86,100,0.8599583333333334,0.8515833333333334,0.42035837752802535,0.43016194387753787
