[01/54] lr=0.1 | hidden_dim=128 | weight_decay=0.01 | activation=swilu | best_val_acc=0.8432
[02/54] lr=0.1 | hidden_dim=128 | weight_decay=0.01 | activation=tanh | best_val_acc=0.8416
[03/54] lr=0.1 | hidden_dim=128 | weight_decay=0.001 | activation=swilu | best_val_acc=0.8745
[04/54] lr=0.1 | hidden_dim=128 | weight_decay=0.001 | activation=tanh | best_val_acc=0.8735
[05/54] lr=0.1 | hidden_dim=128 | weight_decay=0.0001 | activation=swilu | best_val_acc=0.8760
[06/54] lr=0.1 | hidden_dim=128 | weight_decay=0.0001 | activation=tanh | best_val_acc=0.8788
[07/54] lr=0.1 | hidden_dim=256 | weight_decay=0.01 | activation=swilu | best_val_acc=0.8432
[08/54] lr=0.1 | hidden_dim=256 | weight_decay=0.01 | activation=tanh | best_val_acc=0.8423
[09/54] lr=0.1 | hidden_dim=256 | weight_decay=0.001 | activation=swilu | best_val_acc=0.8722
[10/54] lr=0.1 | hidden_dim=256 | weight_decay=0.001 | activation=tanh | best_val_acc=0.8725
[11/54] lr=0.1 | hidden_dim=256 | weight_decay=0.0001 | activation=swilu | best_val_acc=0.8791
[12/54] lr=0.1 | hidden_dim=256 | weight_decay=0.0001 | activation=tanh | best_val_acc=0.8772
[13/54] lr=0.1 | hidden_dim=512 | weight_decay=0.01 | activation=swilu | best_val_acc=0.8409
[14/54] lr=0.1 | hidden_dim=512 | weight_decay=0.01 | activation=tanh | best_val_acc=0.8409
[15/54] lr=0.1 | hidden_dim=512 | weight_decay=0.001 | activation=swilu | best_val_acc=0.8728
[16/54] lr=0.1 | hidden_dim=512 | weight_decay=0.001 | activation=tanh | best_val_acc=0.8720
[17/54] lr=0.1 | hidden_dim=512 | weight_decay=0.0001 | activation=swilu | best_val_acc=0.8772
[18/54] lr=0.1 | hidden_dim=512 | weight_decay=0.0001 | activation=tanh | best_val_acc=0.8760
[19/54] lr=0.05 | hidden_dim=128 | weight_decay=0.01 | activation=swilu | best_val_acc=0.8403
[20/54] lr=0.05 | hidden_dim=128 | weight_decay=0.01 | activation=tanh | best_val_acc=0.8434
[21/54] lr=0.05 | hidden_dim=128 | weight_decay=0.001 | activation=swilu | best_val_acc=0.8628
[22/54] lr=0.05 | hidden_dim=128 | weight_decay=0.001 | activation=tanh | best_val_acc=0.8632
[23/54] lr=0.05 | hidden_dim=128 | weight_decay=0.0001 | activation=swilu | best_val_acc=0.8655
[24/54] lr=0.05 | hidden_dim=128 | weight_decay=0.0001 | activation=tanh | best_val_acc=0.8667
[25/54] lr=0.05 | hidden_dim=256 | weight_decay=0.01 | activation=swilu | best_val_acc=0.8397
[26/54] lr=0.05 | hidden_dim=256 | weight_decay=0.01 | activation=tanh | best_val_acc=0.8425
[27/54] lr=0.05 | hidden_dim=256 | weight_decay=0.001 | activation=swilu | best_val_acc=0.8635
[28/54] lr=0.05 | hidden_dim=256 | weight_decay=0.001 | activation=tanh | best_val_acc=0.8645
[29/54] lr=0.05 | hidden_dim=256 | weight_decay=0.0001 | activation=swilu | best_val_acc=0.8676
[30/54] lr=0.05 | hidden_dim=256 | weight_decay=0.0001 | activation=tanh | best_val_acc=0.8682
[31/54] lr=0.05 | hidden_dim=512 | weight_decay=0.01 | activation=swilu | best_val_acc=0.8390
[32/54] lr=0.05 | hidden_dim=512 | weight_decay=0.01 | activation=tanh | best_val_acc=0.8413
[33/54] lr=0.05 | hidden_dim=512 | weight_decay=0.001 | activation=swilu | best_val_acc=0.8620
[34/54] lr=0.05 | hidden_dim=512 | weight_decay=0.001 | activation=tanh | best_val_acc=0.8638
[35/54] lr=0.05 | hidden_dim=512 | weight_decay=0.0001 | activation=swilu | best_val_acc=0.8663
[36/54] lr=0.05 | hidden_dim=512 | weight_decay=0.0001 | activation=tanh | best_val_acc=0.8668
[37/54] lr=0.01 | hidden_dim=128 | weight_decay=0.01 | activation=swilu | best_val_acc=0.8340
[38/54] lr=0.01 | hidden_dim=128 | weight_decay=0.01 | activation=tanh | best_val_acc=0.8323
[39/54] lr=0.01 | hidden_dim=128 | weight_decay=0.001 | activation=swilu | best_val_acc=0.8407
[40/54] lr=0.01 | hidden_dim=128 | weight_decay=0.001 | activation=tanh | best_val_acc=0.8385
[41/54] lr=0.01 | hidden_dim=128 | weight_decay=0.0001 | activation=swilu | best_val_acc=0.8410
[42/54] lr=0.01 | hidden_dim=128 | weight_decay=0.0001 | activation=tanh | best_val_acc=0.8394
[43/54] lr=0.01 | hidden_dim=256 | weight_decay=0.01 | activation=swilu | best_val_acc=0.8332
[44/54] lr=0.01 | hidden_dim=256 | weight_decay=0.01 | activation=tanh | best_val_acc=0.8322
[45/54] lr=0.01 | hidden_dim=256 | weight_decay=0.001 | activation=swilu | best_val_acc=0.8407
[46/54] lr=0.01 | hidden_dim=256 | weight_decay=0.001 | activation=tanh | best_val_acc=0.8390
[47/54] lr=0.01 | hidden_dim=256 | weight_decay=0.0001 | activation=swilu | best_val_acc=0.8420
[48/54] lr=0.01 | hidden_dim=256 | weight_decay=0.0001 | activation=tanh | best_val_acc=0.8399
[49/54] lr=0.01 | hidden_dim=512 | weight_decay=0.01 | activation=swilu | best_val_acc=0.8344
[50/54] lr=0.01 | hidden_dim=512 | weight_decay=0.01 | activation=tanh | best_val_acc=0.8337
[51/54] lr=0.01 | hidden_dim=512 | weight_decay=0.001 | activation=swilu | best_val_acc=0.8419
[52/54] lr=0.01 | hidden_dim=512 | weight_decay=0.001 | activation=tanh | best_val_acc=0.8407
[53/54] lr=0.01 | hidden_dim=512 | weight_decay=0.0001 | activation=swilu | best_val_acc=0.8424
[54/54] lr=0.01 | hidden_dim=512 | weight_decay=0.0001 | activation=tanh | best_val_acc=0.8414
best_trial: lr=0.1 | hidden_dim=256 | weight_decay=0.0001 | best_val_acc=0.8791
