trial,lr,hidden_dim,weight_decay,activation,best_val_acc,best_epoch,epochs_ran,final_train_acc,final_val_acc,final_train_loss,final_val_loss
1,0.1,128,0.01,swilu,0.8431666666666666,34,44,0.8459583333333334,0.8374166666666667,0.6413146771812437,0.6489507358868912
2,0.1,128,0.01,tanh,0.8415833333333333,14,24,0.8447708333333334,0.8408333333333333,0.6495127755419411,0.6526937779585518
3,0.1,128,0.001,swilu,0.8745,48,50,0.8853541666666667,0.8729166666666667,0.428725880499522,0.45545697848002126
4,0.1,128,0.001,tanh,0.8735,49,50,0.8859166666666667,0.87325,0.40269081792322764,0.42922408850987775
5,0.1,128,0.0001,swilu,0.876,34,44,0.8904583333333334,0.8733333333333333,0.3252023793599447,0.3670616143703456
6,0.1,128,0.0001,tanh,0.87875,48,50,0.8930625,0.8780833333333333,0.31477518607800803,0.35080690304438245
7,0.1,256,0.01,swilu,0.8431666666666666,49,50,0.845875,0.8415833333333333,0.643642668399811,0.6490039006868992
8,0.1,256,0.01,tanh,0.8423333333333334,34,44,0.8465,0.84,0.6423903411483765,0.6482283778190617
9,0.1,256,0.001,swilu,0.87225,34,44,0.8840416666666666,0.8686666666666667,0.48580280732472747,0.5180141127109531
10,0.1,256,0.001,tanh,0.8725,45,50,0.8842291666666666,0.8715833333333334,0.42799615224329646,0.4545914447307587
11,0.1,256,0.0001,swilu,0.8790833333333333,46,50,0.8930416666666666,0.8783333333333333,0.3335658964429219,0.36785084733963036
12,0.1,256,0.0001,tanh,0.87725,46,50,0.8920416666666666,0.8768333333333334,0.32443152118746443,0.36009366679191596
13,0.1,512,0.01,swilu,0.8409166666666666,45,50,0.8437291666666666,0.8385,0.6529085573196409,0.6592024296124774
14,0.1,512,0.01,tanh,0.8409166666666666,27,37,0.8446875,0.83225,0.64282417233785,0.6561149191856384
15,0.1,512,0.001,swilu,0.87275,48,50,0.882,0.8716666666666667,0.5784638932348893,0.6028119684855147
16,0.1,512,0.001,tanh,0.872,45,50,0.8823541666666667,0.8703333333333333,0.47695170047442126,0.5027173890272775
17,0.1,512,0.0001,swilu,0.8771666666666667,45,50,0.8909791666666667,0.87575,0.36068795664901737,0.39549061185518924
18,0.1,512,0.0001,tanh,0.876,45,50,0.8891875,0.8750833333333333,0.3405719497937519,0.37618827587763487
19,0.05,128,0.01,swilu,0.8403333333333334,34,44,0.8440208333333333,0.8375833333333333,0.6621717009607955,0.6686608309745793
20,0.05,128,0.01,tanh,0.8434166666666667,34,44,0.8463958333333333,0.8423333333333334,0.6528660784022012,0.6578336718082431
21,0.05,128,0.001,swilu,0.86275,48,50,0.8717916666666666,0.8626666666666667,0.48539264081128447,0.5054176898002628
22,0.05,128,0.001,tanh,0.86325,49,50,0.8735208333333333,0.8625833333333334,0.4399442037130991,0.4581504467328395
23,0.05,128,0.0001,swilu,0.8655,45,50,0.8757083333333333,0.8650833333333333,0.3719698002872467,0.39595013655026734
24,0.05,128,0.0001,tanh,0.8666666666666667,49,50,0.8771041666666667,0.8659166666666667,0.35857001116790765,0.3800447362422943
25,0.05,256,0.01,swilu,0.8396666666666667,34,44,0.84375,0.8365833333333333,0.6785093297894798,0.6844737122058865
26,0.05,256,0.01,tanh,0.8425,31,41,0.8462083333333333,0.84025,0.6556509023221333,0.6605173255602514
27,0.05,256,0.001,swilu,0.8635,49,50,0.8723333333333333,0.8626666666666667,0.5672690701681773,0.5875253317356104
28,0.05,256,0.001,tanh,0.8645,50,50,0.8735833333333334,0.8645,0.4790835208479559,0.49817741052309655
29,0.05,256,0.0001,swilu,0.8675833333333334,49,50,0.8769583333333333,0.8669166666666667,0.38702013324635837,0.410288873211543
30,0.05,256,0.0001,tanh,0.86825,49,50,0.8779375,0.86675,0.36634378017552705,0.38869084598223397
31,0.05,512,0.01,swilu,0.839,34,44,0.8426041666666667,0.8354166666666667,0.7090173010317486,0.714327822923661
32,0.05,512,0.01,tanh,0.8413333333333334,31,41,0.8457291666666666,0.8395,0.6651094387372334,0.6697244612375898
33,0.05,512,0.001,swilu,0.862,48,50,0.8715208333333333,0.8605,0.724112672154744,0.743574625809988
34,0.05,512,0.001,tanh,0.8638333333333333,49,50,0.8727708333333334,0.8635833333333334,0.5576932540423074,0.5765875722567239
35,0.05,512,0.0001,swilu,0.8663333333333333,48,50,0.8755208333333333,0.8658333333333333,0.41184099816411324,0.4354261164029437
36,0.05,512,0.0001,tanh,0.86675,50,50,0.8761875,0.86675,0.38140974108695985,0.40392433784802717
37,0.01,128,0.01,swilu,0.834,47,50,0.8354583333333333,0.8335833333333333,1.1302190965207417,1.1306109292507163
38,0.01,128,0.01,tanh,0.83225,49,50,0.8331666666666667,0.83175,0.8947803405952452,0.8956740221977232
39,0.01,128,0.001,swilu,0.8406666666666667,48,50,0.8441666666666666,0.8404166666666667,0.6004404044666289,0.6061244482994084
40,0.01,128,0.001,tanh,0.8385,50,50,0.8426875,0.8385,0.5394239218978882,0.5431282976468407
41,0.01,128,0.0001,swilu,0.841,44,50,0.8448333333333333,0.8406666666666667,0.47217305095876044,0.4783281372070316
42,0.01,128,0.0001,tanh,0.8394166666666667,50,50,0.843625,0.8394166666666667,0.4639842588284807,0.46791289127667773
43,0.01,256,0.01,swilu,0.8331666666666667,49,50,0.8358958333333333,0.8325833333333333,1.5902526341183978,1.588235158046086
44,0.01,256,0.01,tanh,0.8321666666666667,48,50,0.8337083333333334,0.8315833333333333,1.1115108093706765,1.1118519132932039
45,0.01,256,0.001,swilu,0.8406666666666667,49,50,0.8443541666666666,0.8404166666666667,0.7163949358431497,0.7215727780659996
46,0.01,256,0.001,tanh,0.839,47,50,0.8435416666666666,0.8385,0.5931035153446196,0.5976940370400754
47,0.01,256,0.0001,swilu,0.842,49,50,0.8449166666666666,0.8413333333333334,0.4847491577214561,0.490437954950333
48,0.01,256,0.0001,tanh,0.8399166666666666,47,50,0.8444375,0.8390833333333333,0.46722411468556707,0.47209540964762375
49,0.01,512,0.01,swilu,0.8344166666666667,45,50,0.8363541666666666,0.8343333333333334,2.5055576250648492,2.4991349911689746
50,0.01,512,0.01,tanh,0.83375,45,50,0.8357708333333334,0.8336666666666667,1.5555479094123843,1.5535166550477346
51,0.01,512,0.001,swilu,0.8419166666666666,43,50,0.8458333333333333,0.8410833333333333,0.9462583957697549,0.9504391849835722
52,0.01,512,0.001,tanh,0.84075,47,50,0.8448958333333333,0.8403333333333334,0.7028708518250782,0.7068284221490233
53,0.01,512,0.0001,swilu,0.8424166666666667,43,50,0.8465625,0.8413333333333334,0.5081989582483927,0.5128939574241643
54,0.01,512,0.0001,tanh,0.8414166666666667,47,50,0.8457708333333334,0.8415,0.4750442880059557,0.479316073211034
